Player Display Name,Date,Drill Title,Player Primary Position,Total Time,Total Distance,Distance Per Min,High Speed Running (Absolute),HSR Per Minute (Absolute),Sprints,Sprint Distance,Accelerations (Absolute),Decelerations (Absolute),Max Speed
Player1,01/01/2020,2. First Half v Away Team,Unknown,00:31:08,3036.7,97.5,155.6,5.0,4,10.5,65,64,26.28
Player10,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,4984.4,104.9,481.8,10.14,14,110.4,131,138,36.14
Player10,01/01/2020,3. Second Half v Away Team,Unknown,00:33:25,3484.1,104.3,403.7,12.08,9,97.8,131,127,34.38
Player12,01/01/2020,2. First Half v Away Team,Unknown,00:16:23,1944.0,118.7,38.9,2.38,0,0.0,33,29,22.5
Player12,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5435.9,110.6,206.4,4.2,3,14.2,86,118,31.79
Player13,01/01/2020,3. Second Half v Away Team,Unknown,00:22:46,2457.6,107.9,345.6,15.18,6,103.1,54,63,32.22
Player14,01/01/2020,3. Second Half v Away Team,Unknown,00:15:44,1942.7,123.4,255.2,16.21,2,12.4,62,83,25.52
Player2,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,4831.6,101.7,210.0,4.42,14,68.7,92,102,41.29
Player2,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5072.8,103.2,166.6,3.39,29,50.0,161,198,42.59
Player3,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,4875.7,102.6,166.0,3.49,21,88.8,186,179,42.98
Player3,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,4820.2,98.1,166.1,3.38,6,44.8,118,147,38.27
Player4,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5099.7,107.3,409.7,8.62,8,99.0,129,143,29.3
Player4,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5172.0,105.2,406.9,8.28,10,120.4,75,80,33.7
Player5,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5565.1,117.1,643.0,13.53,15,260.5,65,141,31.93
Player5,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5538.4,112.7,430.8,8.76,15,116.3,106,135,40.1
Player6,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5466.0,115.0,260.1,5.47,4,10.6,106,103,26.39
Player6,01/01/2020,3. Second Half v Away Team,Unknown,00:26:23,3065.4,116.2,53.9,2.04,1,16.7,53,54,26.42
Player7,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5339.5,112.4,343.2,7.22,10,37.6,108,120,32.98
Player7,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5297.8,107.8,306.0,6.23,7,55.4,162,179,30.31
Player8,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5628.8,118.5,679.4,14.3,37,268.0,276,334,42.7
Player8,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5625.7,114.4,686.7,13.97,17,210.4,92,116,42.84
Player9,01/01/2020,2. First Half v Away Team,Unknown,00:47:31,5174.3,108.9,552.0,11.62,24,135.7,216,233,43.2
Player9,01/01/2020,3. Second Half v Away Team,Unknown,00:49:10,5005.7,101.8,635.5,12.93,15,195.0,126,175,39.35
