Match,Period,xG for,xG against,PPDA,Opp PPDA,Possession %,Field tilt %
09/09/2018 v Liverpool WFC,First half,2.463,0.262,10.17,9.83,66.5,82.8
09/09/2018 v Liverpool WFC,Second half,0.854,0.33,12.58,18.25,63.4,80.2
19/09/2018 v Yeovil Town LFC,First half,1.014,0.265,8.92,28.86,75.4,94.4
19/09/2018 v Yeovil Town LFC,Second half,1.664,0.552,8.85,16.45,68.8,81.6
23/09/2018 v West Ham United LFC,First half,3.243,0.652,17.89,12.0,59.6,76.1
23/09/2018 v West Ham United LFC,Second half,1.41,0.258,9.32,12.46,55.1,73.3
14/10/2018 v Chelsea FCW,First half,1.236,0.464,10.05,9.18,46.0,47.8
14/10/2018 v Chelsea FCW,Second half,0.747,0.387,12.87,10.36,39.3,28.9
21/10/2018 v Reading WFC,First half,2.171,0.41,12.0,9.69,55.6,86.8
21/10/2018 v Reading WFC,Second half,2.128,0.0,11.58,11.71,57.5,68.3
28/10/2018 v Bristol City WFC,First half,0.757,0.017,11.23,21.1,70.9,97.7
28/10/2018 v Bristol City WFC,Second half,3.27,0.081,7.72,24.0,69.1,88.6
